Sl.No,Course Code,Course Name,AS,AA,AB,BB,BC,CC,CD,DD,FA,FD,FP,I,NP,PP,Grand Total,HoD,Hardcopy Received
549,SA 104,Football,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,Forwarded,No
550,SA 105,Hockey,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,Forwarded,No
551,SA 106,Cricket,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,Forwarded,No
552,SA 107,Badminton,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,Forwarded,No
553,SA 108,Table Tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,Forwarded,No
554,SA 109,Lawn Tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,Forwarded,No
555,SA 110,Yoga,0,0,0,0,0,0,0,0,0,0,0,0,43,351,394,Forwarded,No
556,SA 116,Weight Lifting,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,Forwarded,No
557,SA 117,Swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,Forwarded,No
558,SA 201,Athletics,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Forwarded,#N/A
559,SA 203,Volleyball,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Forwarded,#N/A
560,SA 207,Badminton,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Forwarded,#N/A
561,SA 210,YOGA,0,0,0,0,0,0,0,0,0,0,0,0,3,16,19,Forwarded,#N/A
562,SA 216,Weightlifting,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,Forwarded,#N/A
563,SA 217,Swimming,0,0,0,0,0,0,0,0,0,0,0,0,1,15,16,Forwarded,#N/A
564,SA 301,Athletics,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,Forwarded,Yes
565,SA 302,Basketball,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,Forwarded,No
566,SA 303,Volleyball,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,Forwarded,No
567,SA 304,Football,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,Forwarded,No
568,SA 305,Hockey,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,Forwarded,No
569,SA 306,Cricket,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,Forwarded,No
570,SA 307,Badminton,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,Forwarded,No
571,SA 308,Table Tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,Forwarded,No
572,SA 309,Lawn Tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,Forwarded,No
573,SA 310,Weightlifting,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,Forwarded,No
574,SA 311,Swimming,0,0,0,0,0,0,0,0,0,0,0,0,2,30,32,Forwarded,No
575,SA 402,Basketball,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,Forwarded,#N/A
576,SA 404,Football,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Forwarded,#N/A
577,SA 407,Badminton,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Forwarded,#N/A
578,SA 411,Swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Forwarded,#N/A
579,SA 415,SA 415,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Forwarded,#N/A
