Sl.No,Course Code,Course Name,AS,AA,AB,BB,BC,CC,CD,DD,FA,FD,FP,I,NP,PP,Grand Total,HoD,Hardcopy Received
181,COS 05,CoS 05,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,Forwarded,Yes
182,COS 06,CoS 06,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,Forwarded,Yes
183,CS 101,Introduction to Computing,3,62,102,163,154,126,139,144,0,0,126,0,0,0,1019,Forwarded,Yes
184,CS 110,Computing Laboratory,0,168,270,163,154,160,39,40,0,0,5,0,0,0,999,Forwarded,Yes
185,CS 205,"Formal Languages, Automata Theory, and Computation",4,7,20,25,26,13,11,11,0,0,5,0,0,0,122,Forwarded,Yes
186,CS 206M,Datastructures and Algorithms,0,1,4,26,12,4,2,0,0,0,0,0,1,1,51,Forwarded,Yes
187,CS 207,Design and Analysis of Algorithms,0,3,29,35,29,13,8,7,0,0,6,0,0,0,130,Forwarded,No
188,CS 223,Computer Architecture and Organization,5,17,44,42,37,23,17,13,0,1,11,0,0,2,212,Forwarded,Yes
189,CS 224,Hardware Lab,0,11,14,27,49,10,12,0,0,0,0,0,0,0,123,Forwarded,No
190,CS 245,Database Management Systems,2,36,62,41,37,10,5,7,0,1,0,2,0,0,203,Forwarded,Yes
191,CS 246,Database Management Systems Lab,0,22,30,81,41,22,2,3,0,0,0,0,0,0,201,Forwarded,Yes
192,CS 321,Smart Systems Laboratory,0,8,6,3,1,2,2,0,0,0,0,0,0,0,22,Forwarded,Yes
193,CS 331,Programming Languages Lab,1,22,43,28,8,1,0,0,0,0,0,0,0,0,103,Forwarded,Yes
194,CS 345,Software Engineering,0,13,40,61,7,2,0,1,0,0,0,0,0,0,124,Forwarded,Yes
195,CS 346,Software Engineering Lab,0,43,72,9,0,0,0,0,0,0,0,0,0,0,124,Forwarded,No
196,CS 348,Implementation of Programming Languages Lab,0,59,61,3,1,1,0,0,2,0,0,0,0,0,127,Forwarded,Yes
197,CS 350M,Computer Systems,0,0,4,9,11,7,6,3,2,0,0,0,0,0,42,Forwarded,Yes
198,CS 361,Machine Learning,0,12,7,29,30,23,12,9,0,0,2,0,0,0,124,Forwarded,Yes
199,CS 499,Project II,2,14,19,15,8,9,0,0,0,0,1,1,0,0,69,Forwarded,Yes
200,CS 508,Optimization Methods,0,4,8,11,9,9,1,2,0,0,1,0,0,0,45,Forwarded,Yes
